predictor,raw_fi,fi,season,window,window_c,pred_cat
fp_depth,29137.885464957126,0.2210033870756885,Fall/Winter,4,F4,FP
fp_sal,5014.348295299795,0.03803254558644034,Fall/Winter,4,F4,FP
fp_temp,9300.142911043713,0.07053919839517904,Fall/Winter,4,F4,FP
fp_depth_1d,18755.69724579575,0.1422571525745107,Fall/Winter,4,F4,FP
fp_depth_7d,4017.3674367418635,0.0304707015104205,Fall/Winter,4,F4,FP
creek_sal,2500.4093083889957,0.018964963222679102,Fall/Winter,4,F4,Creek
creek_temp,2176.197540741244,0.0165059001288207,Fall/Winter,4,F4,Creek
creek_depth_1d,15681.991193725715,0.11894388060769331,Fall/Winter,4,F4,Creek
BP_hPa,2739.899652241661,0.02078143604899365,Fall/Winter,4,F4,Climate
month,1397.1322889971657,0.010596890032824406,Fall/Winter,4,F4,Time
sun_position,760.749356385781,0.005770088727924618,Fall/Winter,4,F4,Time
par,501.1847632643131,0.0038013578701635987,Fall/Winter,4,F4,Climate
par_7d,9028.004683832847,0.06847509974812016,Fall/Winter,4,F4,Climate
rain_mm,35.714511130793014,2.7088540577696477e-4,Fall/Winter,4,F4,Climate
rain_1d,4225.225840812868,0.032047254187418495,Fall/Winter,4,F4,Climate
rain_7d,8003.930847659284,0.06070776238652125,Fall/Winter,4,F4,Climate
air_temp,999.4586189217191,0.007580637252807417,Fall/Winter,4,F4,Climate
atemp_1d,2157.8934159958294,0.016367068037828454,Fall/Winter,4,F4,Climate
atemp_7d,6393.999588728382,0.04849684675193746,Fall/Winter,4,F4,Climate
d_temp,1589.907511900498,0.012059040649661214,Fall/Winter,4,F4,Climate
d_sal,2274.7453680440744,0.017253360120351953,Fall/Winter,4,F4,Climate
d_depth,4011.4723970866207,0.030425989146775547,Fall/Winter,4,F4,Climate
d_do,1140.2566933912688,0.00864855453146267,Fall/Winter,4,F4,Climate
fp_depth,25834.184707667817,0.19629384442321404,Fall/Winter,5,F5,FP
fp_sal,7082.452441945479,0.053814038782552406,Fall/Winter,5,F5,FP
fp_depth_1d,14501.264182071218,0.11018380984365048,Fall/Winter,5,F5,FP
fp_depth_7d,6042.811810199919,0.04591461951567136,Fall/Winter,5,F5,FP
creek_sal,3055.9425156563652,0.02321972655697903,Fall/Winter,5,F5,Creek
creek_temp,2512.0826540813914,0.01908735914287045,Fall/Winter,5,F5,Creek
creek_depth_1d,17904.420364047808,0.13604174256697493,Fall/Winter,5,F5,Creek
creek_depth_7d,6362.079251056014,0.0483404840851928,Fall/Winter,5,F5,Creek
BP_hPa,2415.500584302116,0.01835350723332294,Fall/Winter,5,F5,Climate
month,2995.0599859981685,0.02275712764239936,Fall/Winter,5,F5,Time
sun_position,741.2817846509721,0.005632422813283207,Fall/Winter,5,F5,Time
par,398.5852702612321,0.0030285389655366492,Fall/Winter,5,F5,Climate
rain_mm,88.46029229848666,6.721408494426893e-4,Fall/Winter,5,F5,Climate
rain_1d,6028.367412047066,0.04580486778648435,Fall/Winter,5,F5,Climate
rain_7d,16182.696315362406,0.12295970276673894,Fall/Winter,5,F5,Climate
air_temp,1163.6317055968298,0.00884153084639625,Fall/Winter,5,F5,Climate
atemp_1d,2196.8137614982693,0.016691876426753526,Fall/Winter,5,F5,Climate
atemp_7d,6751.012771905696,0.051295686925791076,Fall/Winter,5,F5,Climate
d_temp,1638.5559968825785,0.012450110563594758,Fall/Winter,5,F5,Climate
d_sal,3282.7074140770155,0.024942736367233164,Fall/Winter,5,F5,Climate
d_depth,3270.7613916108503,0.024851967848621714,Fall/Winter,5,F5,Climate
d_do,1161.082056259964,0.008822158047295843,Fall/Winter,5,F5,Climate
