x_norm,y,mean_x,sd_x,pdp_var,season,window,window_c,x
1.715677372276991,3.9499509248333347,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,186.068655846364
1.802255481500577,4.037333866666668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,191.61351840530784
1.8842423273562472,4.0832822333333345,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,196.86433522248964
1.9711483839632578,4.121983294166668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,202.43020104870232
2.091505073679378,4.139664887000001,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,210.13840013632495
2.26138181829233,4.146359295166668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,221.01809258152582
2.627043150808619,4.148009082333335,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,244.43673558615654
-1.2338328153075466,3.4564321029999996,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,3.809898727468294
-1.0826763052815105,3.453646385833333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,12.730898137706845
-1.0746360653865086,3.451822086166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,13.205419382932298
-1.0649877775125063,3.4515455628333327,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,13.774844877202838
-1.055339489638504,3.451276848333333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,14.344270371473385
-1.0489072977225022,3.452094566333333,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,14.72388736765376
-1.0456912017645017,3.4521992989999997,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,14.913695865743932
-1.042475105806501,3.4523205716666663,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,15.103504363834112
-1.0392590098485002,3.4530266136666663,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,15.293312861924292
-1.0376509618694998,3.4532992184999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,15.388217110969386
-1.034434865911499,3.4542625429999996,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,15.578025609059566
-1.0296107219744979,3.4546981519999993,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,15.86273835619484
-1.0247865780374967,3.4597154193333326,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,16.147451103330113
-1.021570482079496,3.467324812166666,76.62860707020305,59.018294406915956,creek_depth,Spring/Summer,4,S4,16.337259601420293
